branch_id	parent	node_type	name	observed_state	is_imputed	map_state	map_probability	p_0	p_1
90	78	tip	Zea_mays_X61489	1	False	1	1.0	0.0	1.0
91	79	intnode			False	0	0.9535259291103138	0.9535259291103138	0.04647407088968617
92	79	tip	Phragmites_australis_AM689880	0	False	0	1.0	1.0	0.0
93	80	intnode			False	0	0.9852463196119277	0.9852463196119277	0.014753680388072211
94	80	tip	Holcus_lanatus_AM690224	0	False	0	1.0	1.0	0.0
95	82	intnode			False	1	0.6517565302352237	0.3482434697647763	0.6517565302352237
96	82	intnode			False	1	0.9853624467158569	0.01463755328414313	0.9853624467158569
97	85	intnode			False	0	0.638908203250563	0.638908203250563	0.3610917967494369
98	85	intnode			False	0	0.9831170622488646	0.9831170622488646	0.016882937751135422
99	87	tip	Carex_pendula_FN390832	0	False	0	1.0	1.0	0.0
100	87	intnode			False	0	0.9811644136444497	0.9811644136444497	0.01883558635555024
101	91	intnode			False	1	0.5243488599751444	0.4756511400248556	0.5243488599751444
102	91	tip	Cyrtococcum_patens_AM689877	0	False	0	1.0	1.0	0.0
103	93	intnode			False	0	0.9907066904109225	0.9907066904109225	0.009293309589077441
104	93	tip	Streptochaeta_sodiroana_AM689887	0	False	0	1.0	1.0	0.0
105	95	tip	Echinochloa_crus-galli_AY251482	0	False	0	1.0	1.0	0.0
106	95	tip	Setaria_italica_AY491400	1	False	1	1.0	0.0	1.0
107	96	tip	Zea_mays_AB012228	1	False	1	1.0	0.0	1.0
108	96	tip	Sorghum_bicolor_X55664	1	False	1	1.0	0.0	1.0
109	97	tip	Eleocharis_vivipara_AB085948	1	False	1	1.0	0.0	1.0
110	97	intnode			False	1	0.9336947980307274	0.06630520196927256	0.9336947980307274
111	98	intnode			False	0	0.9848259274959876	0.9848259274959876	0.01517407250401237
112	98	tip	Scirpoides_holoschoenus_subsp._thunbergii_FM208059	0	False	0	1.0	1.0	0.0
113	100	tip	Scirpoides_holoschoenus_FN390833	0	False	0	1.0	1.0	0.0
114	100	intnode			False	0	0.829407158444475	0.829407158444475	0.170592841555525
115	101	tip	Setaria_italica_AF495586	1	False	1	1.0	0.0	1.0
116	101	intnode			False	1	0.9425391794117313	0.05746082058826876	0.9425391794117313
117	103	intnode			False	0	0.9997727659680724	0.9997727659680724	0.00022723403192764045
118	103	tip	Pharus_latifolius_AM689883	0	False	0	1.0	1.0	0.0
119	110	tip	Fimbristylis_littoralis_FM208036	1	False	1	1.0	0.0	1.0
120	110	tip	Fimbristylis_littoralis_FM208037	1	False	1	1.0	0.0	1.0
121	111	tip	Cyperus_sanguinolentus_FM208046	1	False	1	1.0	0.0	1.0
122	111	intnode			False	0	0.9953572187816672	0.9953572187816672	0.0046427812183328105
123	114	tip	Cyperus_sanguinolentus_FN390835	1	False	1	1.0	0.0	1.0
124	114	tip	Cyperus_nipponicus_FN390836	0	False	0	1.0	1.0	0.0
125	116	tip	Zea_mays_X15239	1	False	1	1.0	0.0	1.0
126	116	tip	Sorghum_bicolor_X17379	1	False	1	1.0	0.0	1.0
127	117	intnode			False	0	0.9993878893883443	0.9993878893883443	0.0006121106116556365
128	117	intnode			False	0	0.9999332329428589	0.9999332329428589	6.676705714110991e-05
129	122	tip	Cyperus_eragrostis_FM208065	0	False	0	1.0	1.0	0.0
130	122	tip	Cyperus_eragrostis_FM208066	0	False	0	1.0	1.0	0.0
131	127	tip	Oryza_sativa_Japonica_Group_AK066635	0	False	0	1.0	1.0	0.0
132	127	tip	Microlaena_stipoides_AM689896	0	False	0	1.0	1.0	0.0
133	128	intnode			False	0	0.9998612932086895	0.9998612932086895	0.00013870679131045872
134	128	tip	Arundinaria_sp._Hodkinson_s.n._AM689891	0	False	0	1.0	1.0	0.0
135	133	intnode			False	0	0.9987529405674689	0.9987529405674689	0.0012470594325310782
136	133	tip	Phaenosperma_globosum_AM689882	0	False	0	1.0	1.0	0.0
137	135	intnode			False	0	0.999225578484156	0.999225578484156	0.0007744215158438987
138	135	tip	Arrhenatherum_elatius_AM689890	0	False	0	1.0	1.0	0.0
139	137	tip	Cyrtococcum_patens_AM689878	0	False	0	1.0	1.0	0.0
140	137	tip	Hymenachne_amplexicaulis_AM689899	0	False	0	1.0	1.0	0.0
