case	method	generated	p_available	rejection_given_available	coverage_given_interval	fit_failures	seconds
negative-binomial-n30-poisson-limit	null-bootstrap	2	0.5	0.0	None	0	10.046698837977601
negative-binomial-n30-poisson-limit	parametric-bootstrap	2	1.0	0.0	1.0	0	1.3066523760207929
negative-binomial-n30-poisson-limit	profile-likelihood	2	1.0	0.0	1.0	0	14.332504048012197
negative-binomial-n30-poisson-limit	wald	2	1.0	0.0	1.0	0	0.2827416680229362
negative-binomial-n30-strong-phylogeny	null-bootstrap	2	1.0	0.0	None	0	7.201439878990641
negative-binomial-n30-strong-phylogeny	parametric-bootstrap	2	1.0	0.0	1.0	0	1.3092200010141823
negative-binomial-n30-strong-phylogeny	profile-likelihood	2	0.5	0.0	1.0	1	58.61069536098512
negative-binomial-n30-strong-phylogeny	wald	2	1.0	0.0	1.0	0	0.2223212500102818
poisson-n30	null-bootstrap	2	1.0	0.0	None	0	0.8685898759867996
poisson-n30	parametric-bootstrap	2	1.0	0.0	0.5	0	0.6291586670267861
poisson-n30	profile-likelihood	2	1.0	0.0	1.0	0	2.346135333995335
poisson-n30	wald	2	1.0	0.0	1.0	0	0.10377137499745004
poisson-n30-boundary	null-bootstrap	2	1.0	0.0	None	0	1.112317875988083
poisson-n30-boundary	parametric-bootstrap	2	1.0	0.0	1.0	0	0.5581797920167446
poisson-n30-boundary	profile-likelihood	2	1.0	0.0	1.0	0	2.248398376017576
poisson-n30-boundary	wald	2	1.0	0.0	1.0	0	0.10737487502046861
poisson-n30-count-error	null-bootstrap	2	1.0	0.0	None	0	0.8486710420111194
poisson-n30-count-error	parametric-bootstrap	2	1.0	0.0	0.0	0	0.5144876670092344
poisson-n30-count-error	profile-likelihood	2	1.0	0.0	0.5	0	2.443281793006463
poisson-n30-count-error	wald	2	1.0	0.0	0.5	0	0.07842254199204035
poisson-n30-missing-mar	null-bootstrap	2	1.0	0.0	None	0	0.6094059159804601
poisson-n30-missing-mar	parametric-bootstrap	2	1.0	0.0	0.5	0	0.4333377920265775
poisson-n30-missing-mar	profile-likelihood	2	1.0	0.0	1.0	0	3.229408751009032
poisson-n30-missing-mar	wald	2	1.0	0.0	1.0	0	0.09215512502123602
poisson-n30-strong-phylogeny	null-bootstrap	2	1.0	0.0	None	0	1.0326644580054563
poisson-n30-strong-phylogeny	parametric-bootstrap	2	1.0	0.0	1.0	0	2.133188751002308
poisson-n30-strong-phylogeny	profile-likelihood	2	1.0	0.0	1.0	0	4.432715459988685
poisson-n30-strong-phylogeny	wald	2	1.0	0.0	1.0	0	0.21057099997415207
poisson-n30-zero-inflation	null-bootstrap	2	1.0	0.0	None	0	1.3291801669984125
poisson-n30-zero-inflation	parametric-bootstrap	2	1.0	0.0	0.0	0	1.0662803760205861
poisson-n30-zero-inflation	profile-likelihood	2	1.0	0.0	1.0	0	2.7005793759890366
poisson-n30-zero-inflation	wald	2	1.0	0.0	1.0	0	0.14755658400827087
rsc-e10	null-bootstrap	2	1.0	0.0	None	0	0.010641165979905054
rsc-e10	oracle	2	1.0	0.0	1.0	0	0.00042229201062582433
rsc-e10	parametric-bootstrap	2	1.0	0.0	0.5	0	0.03146570798708126
rsc-e10	wald	2	1.0	0.0	1.0	0	0.034444249991793185
rsc-e2	null-bootstrap	2	1.0	0.0	None	0	0.006739542004652321
rsc-e2	oracle	2	1.0	0.0	1.0	0	0.00047812500270083547
rsc-e2	parametric-bootstrap	2	1.0	0.0	1.0	0	0.02873699998599477
rsc-e2	wald	2	1.0	0.0	1.0	0	0.03436812499421649
rsc-e2-rank-ineligible	null-bootstrap	2	0.0	None	None	0	0.0
rsc-e2-rank-ineligible	oracle	2	0.0	None	None	0	0.0
rsc-e2-rank-ineligible	parametric-bootstrap	2	0.0	None	None	0	0.0
rsc-e2-rank-ineligible	wald	2	0.0	None	None	0	0.0
rsc-e20	null-bootstrap	2	1.0	0.0	None	0	0.013087083003483713
rsc-e20	oracle	2	1.0	0.0	1.0	0	0.0004180419782642275
rsc-e20	parametric-bootstrap	2	1.0	0.0	0.5	0	0.033221415971638635
rsc-e20	wald	2	1.0	0.5	0.5	0	0.05450345799908973
rsc-e20-alternative	null-bootstrap	2	1.0	0.0	None	0	0.016719500010367483
rsc-e20-alternative	oracle	2	1.0	1.0	1.0	0	0.0007863329956308007
rsc-e20-alternative	parametric-bootstrap	2	1.0	0.0	1.0	0	0.04797016701195389
rsc-e20-alternative	wald	2	1.0	1.0	1.0	0	0.040068875008728355
rsc-e20-copies5	null-bootstrap	2	1.0	0.0	None	0	5.071616836008616
rsc-e20-copies5	oracle	2	1.0	0.0	1.0	0	0.0006537910085171461
rsc-e20-copies5	parametric-bootstrap	2	1.0	0.0	1.0	0	1.2155564999848139
rsc-e20-copies5	wald	2	1.0	0.0	1.0	0	0.8177053749968763
rsc-e20-copies5-boundary	null-bootstrap	2	1.0	0.0	None	0	5.518856084992876
rsc-e20-copies5-boundary	oracle	2	1.0	0.0	1.0	0	0.0006010000070091337
rsc-e20-copies5-boundary	parametric-bootstrap	2	1.0	0.0	1.0	0	1.214024207991315
rsc-e20-copies5-boundary	wald	2	1.0	0.0	1.0	0	0.6589187509962358
rsc-e20-copies5-concentrated	null-bootstrap	2	1.0	0.0	None	0	5.261316376971081
rsc-e20-copies5-concentrated	oracle	2	1.0	0.0	1.0	0	0.0005459579988382757
rsc-e20-copies5-concentrated	parametric-bootstrap	2	1.0	0.0	0.0	0	1.5044707929773722
rsc-e20-copies5-concentrated	wald	2	1.0	0.0	1.0	0	0.602034668030683
rsc-e20-copies5-lineage	null-bootstrap	2	1.0	0.0	None	0	3.2878409170079976
rsc-e20-copies5-lineage	oracle	2	1.0	0.0	1.0	0	0.000562500033993274
rsc-e20-copies5-lineage	parametric-bootstrap	2	1.0	0.0	0.5	0	1.0362846670032013
rsc-e20-copies5-lineage	wald	2	1.0	0.0	1.0	0	0.3554392509977333
rsc-e20-copies5-working	null-bootstrap	2	1.0	0.0	None	0	5.618736500968225
rsc-e20-copies5-working	oracle	2	1.0	0.0	1.0	0	0.002171124011510983
rsc-e20-copies5-working	parametric-bootstrap	2	1.0	0.0	1.0	0	1.3384415420005098
rsc-e20-copies5-working	wald	2	1.0	0.0	1.0	0	0.5747472499788273
rsc-e20-joint-rho09	null-bootstrap	2	1.0	0.0	None	0	0.009842458995990455
rsc-e20-joint-rho09	oracle	2	1.0	0.0	1.0	0	0.000601958017796278
rsc-e20-joint-rho09	parametric-bootstrap	2	1.0	0.0	0.5	0	0.04016229201806709
rsc-e20-joint-rho09	wald	2	1.0	0.0	1.0	0	0.03520508302608505
rsc-e20-joint-rho099	null-bootstrap	2	1.0	0.0	None	0	0.011807667033281177
rsc-e20-joint-rho099	oracle	2	1.0	0.0	1.0	0	0.0004818330053240061
rsc-e20-joint-rho099	parametric-bootstrap	2	1.0	0.0	1.0	0	0.036335918004624546
rsc-e20-joint-rho099	wald	2	1.0	0.0	1.0	0	0.03361675000633113
rsc-e20-missing-clade	null-bootstrap	2	1.0	0.0	None	0	0.009551875002216548
rsc-e20-missing-clade	oracle	2	1.0	0.0	1.0	0	0.0011335830204188824
rsc-e20-missing-clade	parametric-bootstrap	2	1.0	0.0	0.0	0	0.03501483399304561
rsc-e20-missing-clade	wald	2	1.0	0.0	1.0	0	0.07371220801724121
rsc-e20-missing-mar	null-bootstrap	2	1.0	0.0	None	0	0.00790395902004093
rsc-e20-missing-mar	oracle	2	1.0	0.5	0.5	0	0.00045945800957269967
rsc-e20-missing-mar	parametric-bootstrap	2	1.0	0.0	0.5	0	0.03782070800662041
rsc-e20-missing-mar	wald	2	1.0	0.5	0.5	0	0.03548479202436283
rsc-e20-missing-mcar	null-bootstrap	2	1.0	0.0	None	0	0.010779376025311649
rsc-e20-missing-mcar	oracle	2	1.0	0.0	1.0	0	0.00048249997780658305
rsc-e20-missing-mcar	parametric-bootstrap	2	1.0	0.0	1.0	0	0.035506375978002325
rsc-e20-missing-mcar	wald	2	1.0	0.0	1.0	0	0.032751208025729284
rsc-e20-missing-mnar	null-bootstrap	2	1.0	0.0	None	0	0.008582209004089236
rsc-e20-missing-mnar	oracle	2	1.0	0.0	1.0	0	0.0004906669782940298
rsc-e20-missing-mnar	parametric-bootstrap	2	1.0	0.0	0.5	0	0.033385751012247056
rsc-e20-missing-mnar	wald	2	1.0	0.0	1.0	0	0.03278666702681221
rsc-e20-replicates	null-bootstrap	2	1.0	0.0	None	0	0.05774112499784678
rsc-e20-replicates	oracle	2	1.0	0.0	1.0	0	0.00041904201498255134
rsc-e20-replicates	parametric-bootstrap	2	1.0	0.0	0.5	0	0.04931850000866689
rsc-e20-replicates	wald	2	1.0	0.0	1.0	0	0.04362837498774752
rsc-e20-replicates-estimated-se	null-bootstrap	2	1.0	0.0	None	0	0.07666670897742733
rsc-e20-replicates-estimated-se	oracle	2	1.0	0.0	1.0	0	0.0004164580022916198
rsc-e20-replicates-estimated-se	parametric-bootstrap	2	1.0	0.0	0.5	0	0.05154674997902475
rsc-e20-replicates-estimated-se	wald	2	1.0	0.0	1.0	0	0.04956862499238923
rsc-e20-replicates-predictor-error	oracle	2	1.0	0.0	1.0	0	0.0005206670030020177
rsc-e20-replicates-predictor-error	parametric-bootstrap	2	1.0	0.0	0.5	0	0.49533095897641033
rsc-e20-replicates-predictor-error	wald	2	1.0	0.0	1.0	0	0.1381811659957748
rsc-e3	null-bootstrap	2	1.0	0.0	None	0	0.006807998986914754
rsc-e3	oracle	2	1.0	0.0	1.0	0	0.00047400000039488077
rsc-e3	parametric-bootstrap	2	1.0	0.0	0.5	0	0.03456258401274681
rsc-e3	wald	2	1.0	0.0	1.0	0	0.03517691697925329
rsc-e5	null-bootstrap	2	1.0	0.0	None	0	0.0069876250345259905
rsc-e5	oracle	2	1.0	0.0	1.0	0	0.0004084580286871642
rsc-e5	parametric-bootstrap	2	1.0	0.0	1.0	0	0.031171583017567173
rsc-e5	wald	2	1.0	0.0	1.0	0	0.03150583297247067
rsc-e5-copies5	null-bootstrap	2	1.0	0.0	None	0	4.03099975202349
rsc-e5-copies5	oracle	2	1.0	0.0	1.0	0	0.000650792004307732
rsc-e5-copies5	parametric-bootstrap	2	1.0	0.0	1.0	0	0.9672508749645203
rsc-e5-copies5	wald	2	1.0	0.0	1.0	0	0.5496975010028109
rsc-e5-copies5-boundary	null-bootstrap	2	1.0	0.0	None	0	3.759176835010294
rsc-e5-copies5-boundary	oracle	2	1.0	0.0	1.0	0	0.0004443740181159228
rsc-e5-copies5-boundary	parametric-bootstrap	2	1.0	0.0	0.5	0	1.1690875009808224
rsc-e5-copies5-boundary	wald	2	1.0	0.0	1.0	0	0.47386829197057523
rsc-e5-copies5-concentrated	null-bootstrap	2	1.0	0.0	None	0	3.69771416898584
rsc-e5-copies5-concentrated	oracle	2	1.0	0.0	1.0	0	0.0005989579949527979
rsc-e5-copies5-concentrated	parametric-bootstrap	2	1.0	0.0	1.0	0	1.0842542099999264
rsc-e5-copies5-concentrated	wald	2	1.0	0.0	1.0	0	0.39901095800451003
rsc-e5-copies5-lineage	null-bootstrap	2	1.0	0.0	None	0	3.955958626989741
rsc-e5-copies5-lineage	oracle	2	1.0	0.0	1.0	0	0.0008998329867608845
rsc-e5-copies5-lineage	parametric-bootstrap	2	1.0	0.0	1.0	0	0.9696134159748908
rsc-e5-copies5-lineage	wald	2	1.0	0.0	1.0	0	0.286668707994977
rsc-e5-copies5-working	null-bootstrap	2	1.0	0.0	None	0	3.4407314599957317
rsc-e5-copies5-working	oracle	2	1.0	0.0	1.0	0	0.0005705420044250786
rsc-e5-copies5-working	parametric-bootstrap	2	1.0	0.0	0.5	0	0.8812940410280135
rsc-e5-copies5-working	wald	2	1.0	0.0	1.0	0	0.2500281250104308
rsc-e50	null-bootstrap	2	1.0	0.0	None	0	0.015954500006046146
rsc-e50	oracle	2	1.0	0.0	1.0	0	0.0008670420211274177
rsc-e50	parametric-bootstrap	2	1.0	0.0	0.5	0	0.06457145800231956
rsc-e50	wald	2	1.0	0.0	1.0	0	0.04634075000649318
