Fri Sep 11 10:20:15 2026    reviews/native-scale-pilot-2026-09-11/results/fit10-profile.prof

         1624216 function calls (1622015 primitive calls) in 0.933 seconds

   Ordered by: cumulative time
   List reduced from 536 to 80 due to restriction <80>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.936    0.936 benchmark_scale_pilot.py:92(execute)
        1    0.000    0.000    0.862    0.862 shift_native_fit.py:419(fit_native_layout)
        1    0.000    0.000    0.858    0.858 shift_native_fit.py:273(fit_native_trait)
        3    0.000    0.000    0.853    0.284 shift_native_fit.py:235(_profile_alpha)
      141    0.000    0.000    0.849    0.006 shift_native_fit.py:162(at_alpha)
      141    0.003    0.000    0.849    0.006 shift_native_fit.py:106(analytic_scale)
      141    0.002    0.000    0.839    0.006 shift_native_fit.py:93(evaluate)
      141    0.023    0.000    0.837    0.006 shift_native_model.py:298(evaluate_trait)
        1    0.000    0.000    0.836    0.836 optimization.py:77(global_bounded_scalar_minimize)
      138    0.000    0.000    0.832    0.006 shift_native_fit.py:243(objective)
        4    0.000    0.000    0.702    0.176 optimization.py:61(_bounded_scalar_minimize)
        4    0.000    0.000    0.701    0.175 _minimize.py:785(minimize_scalar)
        4    0.002    0.001    0.701    0.175 _optimize.py:2251(_minimize_scalar_bounded)
      141    0.359    0.003    0.531    0.004 gaussian_whitening.py:83(build)
      141    0.014    0.000    0.249    0.002 gaussian_whitening.py:196(tree_gls)
        1    0.000    0.000    0.133    0.133 optimization.py:86(<listcomp>)
      141    0.102    0.001    0.109    0.001 linalg.py:789(qr)
      290    0.029    0.000    0.096    0.000 {built-in method builtins.any}
      141    0.087    0.001    0.091    0.001 gaussian_whitening.py:158(apply)
        1    0.000    0.000    0.074    0.074 benchmark_scale_pilot.py:28(fixture)
        1    0.002    0.002    0.053    0.053 util.py:1274(read_tree)
   282000    0.039    0.000    0.051    0.000 gaussian_whitening.py:95(<genexpr>)
        1    0.000    0.000    0.043    0.043 util.py:132(normalize_phylogenetic_tree_text)
        1    0.000    0.000    0.032    0.032 util.py:116(_convert_paml_figtree_intervals)
